m,n,time to complete ms
6,6,264.5657
6,6,508.9282
6,6,5139.0569000000005
6,6,4068.1606
6,6,328.14959999999996
6,6,435.6462
6,6,1387.9881
6,6,117.21
6,6,185.2268
6,6,123.347
6,6,999.2983
6,6,3422.2257
6,6,347.1125
6,6,380.3698
6,6,898.2344
6,6,32.2217
6,6,330.2124
6,6,1570.6496000000002
6,6,44.2116
6,6,14.339799999999999
6,6,9.2034
6,6,448.6444
6,6,915.9766
6,6,857.3195
6,6,1592.7831999999999
6,6,2007.6893
6,6,749.7196
6,6,156.1592
6,6,2698.5706
6,6,1159.1368
6,6,49.415699999999994
6,6,2048.7781999999997
6,6,2044.4435
6,6,503.962
6,6,424.31129999999996
6,6,5334.1237
6,6,77.03580000000001
6,6,1544.4392
6,6,6722.7213
6,6,628.7908
6,6,245.0813
6,6,1453.8634
6,6,787.536
6,6,341.48859999999996
6,6,271.1052
6,6,1029.9523000000002
6,6,2243.9354
6,6,1511.757
6,6,1212.3258
6,6,369.19890000000004
6,6,1630.1697
6,6,1870.8783
6,6,8.2365
6,6,2259.1821
6,6,657.4022
6,6,1367.1083999999998
6,6,361.4922
6,6,639.6033
6,6,572.1506999999999
6,6,2006.1166
6,6,1009.0433
6,6,2304.1047000000003
6,6,29.6654
6,6,304.39340000000004
6,6,2142.9183
6,6,535.2715999999999
6,6,402.8411
6,6,157.844
6,6,1318.137
6,6,810.9943000000001
6,6,1234.6097
6,6,521.3741
6,6,202.637
6,6,937.6444
6,6,2895.9157999999998
6,6,982.1539
6,6,881.0446999999999
6,6,443.63
6,6,1380.5244
6,6,605.9095
6,6,2322.4872
6,6,1705.473
6,6,3236.7867
6,6,4906.5733
6,6,4286.1065
6,6,5258.6716
6,6,1193.7571
6,6,3569.2577
6,6,2337.3241000000003
6,6,1572.1642
6,6,2260.3416
6,6,4463.5253
6,6,2016.9683
6,6,6974.495099999999
6,6,8458.090699999999
6,6,2806.8527000000004
6,6,4613.9277999999995
6,6,8150.9923
6,6,3658.5683
6,6,347.0022
6,6,1160.6752
6,6,435.023
6,6,11917.2516
6,6,724.6092
6,6,21598.0307
6,6,6528.544599999999
6,6,6970.4629
6,6,1106.2146
6,6,3125.1274
6,6,117.728
6,6,3300.4426000000003
6,6,2573.497
6,6,15.624600000000001
6,6,3508.1904
6,6,2840.665
6,6,10337.3321
6,6,3031.1769
6,6,1756.272
6,6,5918.9902999999995
6,6,6588.1613
6,6,144.595
6,6,14.6381
6,6,1015.7684
6,6,1787.0986
6,6,7927.262299999999
6,6,188.6894
6,6,5003.2582999999995
6,6,954.5118
6,6,1408.2564
6,6,10.4764
6,6,11504.9491
6,6,279.6492
6,6,13185.7657
6,6,4356.7037
6,6,1251.9293
6,6,775.9236
6,6,37.6373
6,6,16558.8653
6,6,1692.5278999999998
6,6,3726.6198999999997
6,6,3159.7119
6,6,538.9805
6,6,146.6877
6,6,1959.3942
6,6,2253.9402
6,6,1477.5027
6,6,129.8862
6,6,3884.059
6,6,6602.304700000001
6,6,1863.3301000000001
6,6,3830.9907000000003
6,6,1458.7684
6,6,9879.0056
6,6,73.79610000000001
6,6,2558.4676
6,6,6061.5208
6,6,3278.7466
6,6,25283.7076
6,6,327.85679999999996
6,6,8207.9542
6,6,5559.6805
6,6,8540.2229
6,6,7910.3805
6,6,1173.2333
6,6,1508.7658999999999
6,6,1253.2292
6,6,400.33790000000005
6,6,5406.722900000001
6,6,1904.4576000000002
6,6,1490.2408
6,6,3497.19
6,6,2105.3226
6,6,3415.3478999999998
6,6,7560.0031
6,6,2672.8775
6,6,3181.7484
6,6,208.6842
6,6,957.8414
6,6,10562.9674
6,6,4977.0729
6,6,3422.1004
6,6,1021.8702
6,6,397.9658
6,6,5393.8223
6,6,899.0819
6,6,504.6145
6,6,2388.909
6,6,135.4785
6,6,8454.769199999999
6,6,2448.4122
6,6,3241.0755
6,6,1747.7729
6,6,1704.7048
6,6,352.6003
6,6,7314.1235
6,6,3927.2226
6,6,3886.7056000000002
6,6,7481.5215
6,6,839.8044
6,6,2104.6747
6,6,4101.4719
6,6,1262.0471
6,6,8696.414
